项目,主题,问题类型,优先级,
EZEI重构,《EzEI_Moni_配置说明.docx》与实际不符,文档,高,
EZEI重构,moni启动前检查无法检测非当前交易日期文件,缺陷,高,
EZEI重构,[I010100]EzEI指令中心：获取参考数据操作时报错,缺陷,低,
EZEI重构,cmd\ocg\application.ini中文注释格式错误（itp目录也是）,缺陷,低,
EZEI重构,EzEI菜单功能D-->1 : Distribute Conf File有误,优化,低,
EZEI重构,指令监控服务列表信息与文档描述不符，stat应该为用户的登录状态,缺陷,低,
EZEI重构,EzEI/conf/cmd/sdc/white_list.cfg未做生产配置,缺陷,高,
EZEI重构,自动化部署增量打的包中缺少增量文件bin/app_service.sh,优化,普通,
EZEI重构,日志报错时提供完整的分析信息,优化,低,
EZEI重构,应用模块落消息流水逻辑优化,优化,低,
EZEI重构,收费流水模块日志优化补全问题,缺陷,高,
EZEI重构,cmd_list指令服务信息key值多一个空格,缺陷,低,
EZEI重构,执行showall -bcdt -set命令集显示DTP数据存在问题,文档,普通,
EZEI重构,showall -bcdt -set命令集对所有MTP set的TC广播数据多显示一条,优化,低,
EZEI重构,kafka监测采集信息里连接表显示字段与接口文档不符,需求变更,低,
EZEI重构,d-2菜单显示优化,优化,低,
EZEI重构,showall冒烟测试几个小问题汇总,文档,普通,
EZEI重构,szhq的application.ini编码格式有误，导致szhq相关进程无法启动,缺陷,紧急,
EZEI重构,当前moni把所有监测信息写入了单个kafka topic，不支持多kafka topic配置,优化,低,
EZEI重构,trunk上conf/application.ini格式错误,缺陷,普通,
EZEI重构,当配置多个service且进程均未启动时，moni无法正常启动,缺陷,高,
EZEI重构,当前共享内存检查逻辑有误，仅检查内存总个数，未根据具体内存进行检查,缺陷,高,
EZEI重构,moni共享内存的创建是否需要提在moni启动时就创建共享内存,优化,低,
EZEI重构,moni每次启动时均会删除之前的检查结果文件，造成监测信息丢失,优化,普通,
EZEI重构,23点backup脚本定时执行会删除moni结果文件，而moni此时尚在运行中,优化,普通,
EZEI重构,moni应实现数据中心和指令中心的配置分层,需求变更,普通,
EZEI重构,moni进程在执行检查时，检查成功也要打印检查操作日志，程序正常退出时要打印退出日志,优化,低,
EZEI重构,修改更新菜单操作：MAL009 EzEI用户手册-20161026.docx,文档,高,
EZEI重构,EzEI使用手册没有全面排查和更新,文档,低,
EZEI重构,系统启动前检查中的共享内存检查应只关注EzEI相关共享内存,缺陷,低,
EZEI重构,EzEI集群自动部署设计方案文档_评审意见,文档,低,
EZEI重构,数据集群的代码评审后的第一阶段的修复,优化,普通,
EZEI重构,自动化部署配置环境差异文件升级会导致升级失败,优化,低,
EZEI重构,下游模块未就绪时，上游发送消息，HHCM模块报错,优化,低,
EZEI重构,收费流水模块关于建立oc的orderNo与orderType的哈希重复差数据失败,缺陷,普通,
EZEI重构,检查dumpAll步骤移除查看cgwDataCmn模块,文档,低,
EZEI重构,为配合数据集群生成盘后文件，撤销港股通OCG盘后三张内存表生成逻辑,需求变更,低,
EZEI重构,"menu->c->1->1 MTP,DTP进程显示错误",优化,低,
EZEI重构,EzEI起HHCM错误日志报错,缺陷,高,
EZEI重构,请针对dump异常做应急方案,文档,低,
EZEI重构,bin下的sh脚本需要可执行权限,缺陷,低,
EZEI重构,用crontab_app_stop.sh停止ezei，报错：create file err,缺陷,低,
EZEI重构,ezei进程mktlog_upload.sh报错,文档,低,
EZEI重构,EZEI与下游超时断开时间非2倍时间，大于3倍时间后才断开连接,文档,低,
EZEI重构,crontab_app_stop.sh调用showall报错,缺陷,低,
EZEI重构,is216轻型外部主机系统接口规格说明书评审,文档,低,
EZEI重构,复读CTP_EzEI_REQ_轻型外部接口系统需求规格说明书.docx建议,文档,低,
EZEI重构,showall工具mtp数据落地报错,缺陷,低,
EZEI重构,当上游主题数据TOTAL超限，EZEI会无限循环请求gap,优化,低,
EZEI重构,EzEI-监控路由表信息错误,缺陷,普通,
EZEI重构,EzEI运行和停止时错误日志有报错,其他,高,
EZEI重构,关于与上游订阅请求的存在的隐患问题,优化,普通,
EZEI重构,"多主机menu监控展示报错""value too great for base""",缺陷,高,
EZEI重构,rcp进程start失败，不落日志,优化,低,
EZEI重构,crontab_app_start脚本没有落日志到EzEI${DATA_VAL}.flg,缺陷,普通,
EZEI重构,自动化部署工具需要支持python代码一起打包到tar,缺陷,低,
EZEI重构,自动化部署不支持ftp配置,缺陷,低,
EZEI重构,crontab_app_startmoni和crontab_app_stopmoni落日志逻辑不一致,缺陷,高,
EZEI重构,fast的hd_umd停止问题,缺陷,低,
EZEI重构,《MAL009 EzEI用户手册》没有覆盖全部menu菜单,文档,高,
EZEI重构,下游与EZEI订阅可重传主题，返回响应均为不可重传主题,缺陷,高,
EZEI重构,HHCM配置相关疑问,其他,普通,
EZEI重构,重复登陆登录无本次登录响应，正常登陆失败与重复登陆处理存在差异,优化,低,
EZEI重构,moni进程逻辑优化，moni进程启动不在依赖参考文件，下一交易日检查逻辑的修改,缺陷,普通,
EZEI重构,用户名密码失败却返回login fail与用户名正确密码错误时候返回的description=invalid user or password不一致,缺陷,高,
EZEI重构,单个客户端成功发出登录（用户名正确，密码不正确）异常测试不通过,优化,普通,
EZEI重构,EZEI与下游会话建立且登陆EzEI会配置允许的最大会话数配置不明,文档,低,
EZEI重构,会话建立后客户端不发送登录消息，客户端未收到注销消息后主动关闭会话,缺陷,高,
EZEI重构,menu-b-4优化,优化,低,
EZEI重构,消息流水MsgFlw日志报错,缺陷,低,
EZEI重构,stop_callback.sh中增加上传行情文件逻辑,需求变更,低,
EZEI重构,EZEI主题未接收全下游订阅获取的max非连续最后一条,缺陷,低,
EZEI重构,EZEI心跳强制断开无警告日志,优化,低,
EZEI重构,检测流程梳理,缺陷,高,
EZEI重构,EzEI行情盘后上传日志文件优化,优化,低,
EZEI重构,完善自动过部署工具用户手册,优化,低,
EZEI重构,部署过程中对于tmp目录下的log日志需要加上环境号,优化,低,
EZEI重构,自动化部署集群：输入密码后缺少确认提示信息,缺陷,低,
EZEI重构,comfunc.sh中0048、0058节点启动报错,缺陷,普通,
EZEI重构,conf/service.cfg中缺少rcp进程配置,缺陷,高,
EZEI重构,监控application.iniKAFKA_BROKERS在SVN中未更新成生产配置,其他,低,
EZEI重构,EzEI集群资源创建可配置化问题,需求变更,普通,
EZEI重构,showall工具不支持dtp数据从内存下载,缺陷,低,
EZEI重构,menu-B-5 重新连接txn未对指定上游做判断,缺陷,高,
EZEI重构,重连工具不可用,缺陷,普通,
EZEI重构,主备机切换架构测试，备机连接不稳定,缺陷,高,
EZEI重构,menu监控展示缺少下一交易日参考文件检查,缺陷,紧急,
EZEI重构,测试环境监控日志打印到44G,优化,高,
EZEI重构,期权收费流水文件无上传,缺陷,高,
EZEI重构,localapi编译报错,缺陷,立刻,
EZEI重构,EzEI的txn模块与后台交易系统的备机发生连接断开的场景，导致后续的主备机切换不能进行,缺陷,高,
EZEI重构,主题数据dump会少落若干条数据的问题,缺陷,普通,
EZEI重构,菜单menu-a-2、3、4报语法错误,缺陷,普通,
EZEI重构,集群环境启用菜单B-4-2-2没有内容,缺陷,低,
EZEI重构,去除配置文件中的中文,优化,低,
EZEI重构,menu菜单 B->4异常,优化,普通,
EZEI重构,20170428fast模块编译问题,缺陷,高,
EZEI重构,下一交易日参考文件检查失败消息未写入kafka,缺陷,高,
EZEI重构,监控定时检查落地文件check_results.txt启动前shm_check项未写入,缺陷,普通,
EZEI重构,ocg进程没有配置内存表也能启动成功,缺陷,普通,
EZEI重构,menu监控展示无法区分“尚未检查”和“检查失败”，两者都显示Fail,需求变更,普通,
EZEI重构,EzEI-中登出入金代码规范化,优化,低,
EZEI重构,"监控用户订阅主题sub_info消息体内容多了\""的无用信息",缺陷,高,
EZEI重构,关于收费流水生成的收费文件名称中日期上少一位的问题,缺陷,普通,
EZEI重构,请开发人员在《监控采集_技术方案》文档中补充关于CheckMoniConfig和NextMoniCheck的接口描述,文档,高,
EZEI重构,在service.cfg配置rcproc进程后导致router进程掉线.,缺陷,低,
EZEI重构,请开发人员编写moni的application.ini等配置说明文档,文档,普通,
EZEI重构,EzEI-指令路由规则修改,缺陷,低,
EZEI重构,只发一条主题消息不落dump,缺陷,普通,
EZEI重构,EZEI 下游发送订阅请求，EZEI返回异常description=topic:[%s] have no sub right ,缺陷,紧急,
EZEI重构,moni Server系统启动前检查中日志目录检查不符合预期,缺陷,普通,
EZEI重构,《MENU菜单增加集群检查结果展示功能技术方案》与实际情况不符合,文档,低,
EZEI重构,技术监控输出多输出一次ITP链路信息,缺陷,低,
EZEI重构,EZEI集成版本未加入DTP配置,其他,高,
EZEI重构,当check_results缺少检查结果信息时menu监控展示出错,缺陷,普通,
EZEI重构,自动化部署中，能使用同一个升级包连续升级多次,其他,高,
EZEI重构,自动化部署带参数的打包，打的升级包中的差异文件不正确,其他,普通,
EZEI重构,menu监控展示A 2执行报错,缺陷,高,
EZEI重构,集成包EzEI-E010002-release04241047.tar.gz缺少/sse/nop_16/envup/conf/pub/dtp期权配置文件,优化,低,
EZEI重构,kafka中缺少pub_topic_list数据主题发布状态消息,缺陷,紧急,
EZEI重构,启动前检查消息pre_system_start消息体关键词与文档描述不符,优化,低,
EZEI重构,《监测采集_技术方案v1.2》关于服务配置信息表的频率设置描述未实现,缺陷,普通,
EZEI重构,EzEI-中登出入金部分响应消息丢失,缺陷,高,
EZEI重构,编译警告ftplib.c:99: warning,缺陷,低,
EZEI重构,优化每个进程停止后报“stop call back [ok]”,优化,低,
EZEI重构,moni监控时间段配置逻辑不符合预期,缺陷,高,
EZEI重构,kafka中用户指令业务统计表cmd_state结构与接口文档描述不一致,缺陷,普通,
EZEI重构,执行menu-c-1-1app_service.sh:语法错误,缺陷,普通,
EZEI重构,配置集群genkey脚本语法问题,缺陷,普通,
EZEI重构,下游模拟器向EzEI订阅有数据的主题时，监控界面的订阅序号（sub seq）显示不对,优化,普通,
EZEI重构,自动化部署更新配置，不能更新值为空的字段的值,优化,普通,
EZEI重构,txn_msg.c编译警告,缺陷,高,
EZEI重构,oc、nc数据收不到，txn报错消息长度超长,缺陷,高,
EZEI重构,ftpshget.sh语法错,缺陷,高,
EZEI重构,多机自动化部署成功后提示fail,优化,普通,
EZEI重构,kafka中用户指令服务信息消息体关键字stvInfolist与文档描述cmd_list不一致,缺陷,普通,
EZEI重构,kafka中缺少Sub_info用户订阅主题数据状态消息,缺陷,高,
EZEI重构,自动化部署打包，每次打的包大小都不相同,缺陷,普通,
EZEI重构,自动化部署升级，EzEI升级包中的空文件夹未更新到EzEI中,缺陷,普通,
EZEI重构,自动化部署中，用最新EzEI升级包升级EzEI才能升级成功，用之前的版本升级一般都会失败。,其他,普通,
EZEI重构,kafka中缺少pub_topic_info单个数据主题发布状态消息,缺陷,普通,
EZEI重构,监控路由表消息内容与接口文档描述不一致,缺陷,普通,
EZEI重构,监控消息header消息头中host_name字段内容错误,缺陷,普通,
EZEI重构,moniServer从内存取消息写入kafka系统执行报错,缺陷,普通,
EZEI重构,moni进程启停方式不合理，moni关闭后需主动清空共享内存,优化,普通,
EZEI重构,localapi集成包没包含.h文件,其他,高,
EZEI重构,数据中心C-3菜单显示无关节点号,缺陷,低,
EZEI重构,dump错误日志,优化,普通,
EZEI重构,menu脚本中c-4中，对于已经注释的行的仍旧解析，需要修复,缺陷,普通,
EZEI重构,下游模拟器向EzEI订阅EzEI未曾向上游订阅过的主题，收到订阅成功的提示,缺陷,普通,
EZEI重构,下游模拟器向EzEI订阅无数据的主题，menu C4页面显示错误信息,缺陷,普通,
EZEI重构,menu C4页面上的列Used是最大序号，应将列名更改一下,优化,低,
EZEI重构,EzEI menu C4页面上的最大序号显示错误,缺陷,普通,
EZEI重构,"上游向EzEI打单过程中断,EzEI只收到部分数据，查到的主题状态为0.",缺陷,高,
EZEI重构,moni_info.c:编译警告,优化,低,
EZEI重构,同一个主机不同环境上同时运行EzEI出现一些错误,优化,低,
EZEI重构,客户端订阅取消后能收到EzEI的主题数据,优化,普通,
EZEI重构,下游模拟器向EzEI查询主题时，EzEI返回不存在的set号,缺陷,普通,
EZEI重构,下游模拟器每登陆一次EzEI，EzEI就创建多个user,优化,普通,
EZEI重构,下游模拟器查询EzEI上现有的主题，收到提示：TopicEnq  failed : topic state error ,缺陷,高,
EZEI重构,showall导出广播内存数据的功能不支持不定长报文,缺陷,低,
EZEI重构,EzEI的txn模块连接不上上游模拟器，收不到上游模拟器主题数据,缺陷,紧急,
EZEI重构,topic中的通过setId与type获取topic可能失败的优化,优化,低,
EZEI重构,txn多次尝试连接上游系统,缺陷,紧急,
EZEI重构,socketapi调用状态查询显示状态值不正确,需求变更,普通,
EZEI重构,"删除广播内存表，menu菜单上C->4->1页面上列名为(%)的一列全部显示为""-nan""",优化,低,
EZEI重构,EzEI新增订阅后台DTP主题数据、dump进程落地对应数据文件没有数据,缺陷,高,
EZEI重构,上游模拟器有10000条TC_0002，EzEI接收到的TC_0002主题数据少1条,缺陷,普通,
EZEI重构,ezei节点配置为0048，启停报错，并cgwdatacmn进程异常退出,缺陷,高,
EZEI重构,EzEI只能从上游模拟器接收2条PN_991主题数据，且对应dump文件为空,缺陷,普通,
EZEI重构,EZEI订阅后接收报文C-2数据异常,缺陷,高,
EZEI重构,EzEI收不到上游系统的主题数据,缺陷,普通,
EZEI重构,上游系统第二次插入数据后，EzEI没有再发起过gap重传请求,缺陷,普通,
EZEI重构,上游系统返回给EzEI的最大序号没有实时更新,缺陷,普通,
EZEI重构, EzEI未运行时，页面显示错误信息，不够友好。,优化,低,
EZEI重构,EzEI运行时允许清空内存。清空共享内存后，页面显示错误信息。,优化,低,
EZEI重构,第一次启动EzEI，moni进程启动失败,缺陷,普通,
EZEI重构,"EzEI的menu菜单上打印信息时可以手动输入任意字符，并且字符串""SELECTION:""可以被删掉",优化,低,
EZEI重构,localapi测试读取主题数据TopicStreamRead，传入序号范围为-1到0，返回成功,优化,低,
EZEI重构,先后开启两个相同的EzEI系统，后开启系统的cgwDataCmn进程退出,其他,低,
EZEI重构,"内存不足1G时启动EzEI,提示信息不正确",优化,低,
EZEI重构,localapi测试新增主题数据序号为负值，返回码不正确,缺陷,低,
EZEI重构,测试数据中心时，启动router进程失败，内存无法创建,缺陷,紧急,
EZEI重构,EzEI启动后conf目录下出现冗余文件,优化,普通,
EZEI重构,EzEI系统内存错误，启动成功提示启动错误,优化,低,
EZEI重构,localapi测试返回错误码问题,优化,低,
EZEI重构,所有service.cfg请统一格式,缺陷,普通,
EZEI重构,menu菜单与service.cfg文件配置不相对应,优化,低,
EZEI重构,conf/service.cfg文件中的进程休眠时间只对架构进程起作用,优化,低,
EZEI重构,conf/service.cfg文件中router服务名称配置错误导致启动错误，但却提示EzEI启动ok,优化,低,
EZEI重构,conf/service.cfg文件中缺少ocg配置会导致EzEI启动错误,优化,普通,
EZEI重构,service.cfg中配置两行router（两行一样），menu菜单查看进程状态，同一个router进程显示两行,优化,低,
EZEI重构,conf/service.cfg和conf/node_info.cfg文件中配置不合法EzEI节点会导致正常EzEI节点启动失败,优化,低,
EZEI重构,启动EzEI出现00进程启动失败,缺陷,普通,
EZEI重构,conf/service.cfg配置缺少cmd的itp等，导致router进程启动后关闭,缺陷,低,
EZEI重构,下游系统订阅和订阅取消时，set号后加任意字符有时候被当作该set号进行处理,其他,低,
EZEI重构,下游系统对未订阅的主题能取消订阅成功,缺陷,普通,
EZEI重构,cgwRtHkx进程启不起来,缺陷,低,
EZEI重构,EZEI 订阅后接收异常主题包处理异常,缺陷,普通,
EZEI重构,menu脚本待优化大全——menu显示问题,优化,低,
EZEI重构,主题状态查询,其他,普通,
EZEI重构,EzEI_DES_技术方案2.2.4.1广播内存键值结构定义有歧义,文档,低,
EZEI重构,日期的月与年、日不是相同的文字范围,优化,低,
EZEI重构,router进程CPU占用率超过100%,优化,普通,
EZEI重构,各进程CPU占用率之和大于100%,优化,普通,
EZEI重构,service.cfgtest中配置规范,优化,低,
EZEI重构,router进程读取主题数据广播内存配置，如果该配置不存在会报错,缺陷,普通,
EZEI重构,通过menu菜单B-3做停止EzEI，moni进程不能一次关闭,优化,低,
EZEI重构,接口协议：主题状态查询请求字段定义错误,文档,低,
EZEI重构,data/be_node_list.txt是否需要删除,优化,低,
EZEI重构,编译错误,优化,立刻,
EZEI重构,bcast_info首条为垃圾配置，之后的有效配置不能生效,缺陷,高,
EZEI重构,规范报错信息,优化,低,
EZEI重构,bcast_info和bcast_shr_mem强相关,优化,低,
EZEI重构,router、dumpall进程异常退出但错误日志为空,优化,低,
EZEI重构,dump文件为空,缺陷,高,
EZEI重构,上游模拟器协议整理 ,其他,低,
EZEI重构,dumpall进程2启动后自动关闭,缺陷,高,
EZEI重构,client下游收数据失败,缺陷,高,
EZEI重构,优化建议_监控信息展示业务层+进程,优化,普通,
EZEI重构,共享内存配置文件shr_mem.ini拆分后OCG模块C->5报错,缺陷,低,
EZEI重构,null边界=gap最大长度边界，null的范围在gap段之间，gap值未补齐,缺陷,低,
EZEI重构,hhcm和cgwRtHkx进程启动失败,缺陷,低,
EZEI重构,gap未补齐,缺陷,低,
EZEI重构,EzEI重构版本收到的gap未补齐,缺陷,低,
EZEI重构,客户端数据接收错误,,低,
EZEI重构,【internal】EzEI（EzEAI）修改完共享内存配置大小（TC 1600->2300），txn down,缺陷,低,
EZEI重构,下游会被EzEI断开,,低,
