项目,主题,问题类型,优先级,
期权风控,沪深300成分股每日数据查询和股指期货每日数据查询日志的产品类型查询条件多了一个冒号,缺陷,低,
期权风控,股指期货走势查询的日志显示内容错误,缺陷,普通,
期权风控,订单簿多选时日志关键字错误,缺陷,低,
期权风控,产品成交统计单日查询条件默认缺营业部代码,缺陷,低,
期权风控,个股期权版-产品查询-期权成交统计存入日志标题错误,缺陷,低,
期权风控,参与者持仓统计一码通层级查询子表显示日志,缺陷,低,
期权风控,新兴版市场统计查询日志内容中平台类型条件多了新兴版,其他,低,
期权风控,信用账户查询子表查询显示日志,缺陷,普通,
期权风控,个股期权板中理论价格与实际价格偏差页面证券代码勾选与不勾选日志内容均显示,缺陷,普通,
期权风控,分类投资者申报查询中证券各类投资者申报统计页面日志内容标题错误,缺陷,普通,
期权风控,分类投资者查询中QFII持有统计页面统计方式选择QFII时候日志内容多了证券代码项,其他,低,
期权风控,重点监控查询-重点监控市场参与者查询条件页面点击表中参与代码日志信息没有写全,缺陷,普通,
期权风控,分类投资者-B股各类投资者交易统计：查询日志中单位显示前后缺少分隔符(；和：),缺陷,低,
期权风控,分类投资者-QFII账户交易统计查询日志中查看类别后多了分号,其他,低,
期权风控,产品查询双人双密不同用户报出名称重复消息,缺陷,低,
期权风控,订单簿日志中没有显示菜单栏内容,缺陷,普通,
期权风控,个股期权板参与者查询界面成交与申报无日志写入,缺陷,普通,
期权风控,融资融券交易查询日志中条件结束未用分号分割显示。,缺陷,普通,
期权风控,点击参与者查询类型是券商和营业部的组合托管统计存入日志名称错误,缺陷,普通,
期权风控,产品查询申报/成交统计参与者层级非账户情况日志多营业部代码,缺陷,普通,
期权风控,数据库脚本报错,缺陷,普通,
期权风控,市场统计查询中参与者申报查询页面日志内容多了前N名,其他,低,
期权风控,沪港通查询中沪港通标的证券申报和交易统计页面与日志内容不一致,缺陷,低,
期权风控,分时走势与时段净额图形历史跨日查询日志没显示,其他,普通,
期权风控,分时走势与时段净额图形的日志中没显示对比指数的条件,缺陷,普通,
期权风控,固定收益平台页面账户查询中一码通账户在查询日志账户里面显示,缺陷,普通,
期权风控,沪港通申报统计页面查询日志内容证券名称显示既有证券代码又有证券名称建议修改成统一格式,缺陷,普通,
期权风控,日志查询导出标题名称与页面不一致,缺陷,低,
期权风控,债券专业投资者持有统计的双人双密日志显示错误,缺陷,低,
期权风控,分类投资者申报查询的页面的双人双密日志显示错误,缺陷,低,
期权风控,分类投资者日志修改建议,缺陷,低,
期权风控,信托成交/申报/持有统计统计类型为证券类型情况子表日志证券代码不显示,缺陷,低,
期权风控,债券专板/风险警示板交易金额排序统计日志中页面名称显示错误,缺陷,低,
期权风控,投资者买入超限查询日志中查询条件显示错误,缺陷,普通,
期权风控,债券专板账户标准券查询子表日志不显示,缺陷,低,
期权风控,QFII持有统计统计方式为全体QFII查询子表日志错误,缺陷,普通,
期权风控,个股权版分类投资者查询点击模块日志内容中无版本名称,优化,普通,
期权风控,固定收益平台账户查询一码通查询报错,缺陷,普通,
期权风控,设置中添加账户和证券情况建议显示,缺陷,普通,
期权风控,参与者查询界面账户持仓统计界面选择信用账户在日志中没有显示信用账户信息,缺陷,普通,
期权风控,参与者查询页面查询日志内容券商申报统计和券商成交统计股票代码显示为国际代码,缺陷,普通,
期权风控,参与者查询的账户组查询的日志显示错误,缺陷,普通,
期权风控,参与者查询页面查询日志内容券商申报统计多了证券代码,缺陷,低,
期权风控,沪股通标的证券申报和交易统计明细日志中证券代码不显示,缺陷,普通,
期权风控,层级为一码通点击明细信息日志显示问题,缺陷,普通,
期权风控,参与者查询页面查询日志内容营业部名称未显示,其他,普通,
期权风控,产品查询的ETF申赎详情的日志内容显示错误,缺陷,低,
期权风控,ETF持有统计一篮子明细查询日志多前N名,缺陷,低,
期权风控,产品查询的权证查询的日志中的证券代码格式显示错误,缺陷,普通,
期权风控,产品持有统计一码通层级明细查询日志显示错误,缺陷,普通,
期权风控,产品查询的质押式回购未到期融资/融券统计日志错误,缺陷,普通,
期权风控,产品查询页面产品基本资料在股票代码查询无数据时候查询无日志,缺陷,普通,
期权风控,产品查询页面产品成交详情中查询日志股票代码显示错误,缺陷,普通,
期权风控,产品成交统计日志关键字建议加上平台类型,缺陷,低,
期权风控,个股期权版参与者查询输入双人双密点击下拉选择项无效,缺陷,普通,
期权风控,产品成交统计中平台类型为大宗和固收情况日志多条件,缺陷,普通,
期权风控,产品查询的基金申报详情的查询日志显示不正确,缺陷,普通,
期权风控,产品成交统计点查询按钮日志显示错误,缺陷,普通,
期权风控,个股期权板下期权风控分类投资者查询日志问题汇总,缺陷,普通,
期权风控,个股期权板页面理论价格与实际价格偏离查询日志内容显示不全,缺陷,低,
期权风控,个股期权版块点击期权风控下的重点监控账户组查询点击参与代码非账户组类型代码输入框无效,缺陷,普通,
期权风控,沪港通查询页面沪股通标的证券申报和交易统计中的日志内容证券代码格式应保持一致,缺陷,普通,
期权风控,导入账户个数和证券个数超过1000时候查询日志无日志,缺陷,低,
期权风控,监控对象添加内容日志描述错误,缺陷,普通,
期权风控,设置模块日志中建议去掉jsFunction信息,缺陷,低,
期权风控,删除账户组类型名称日志格式不一致,优化,低,
期权风控,设置模块日志中账户组的账字错误,缺陷,低,
期权风控,账户组设置页面修改账户组类型日志显示错误,缺陷,普通,
期权风控,监控中心打开报错,缺陷,普通,
期权风控,固定收益平台债券质押式协议回购日志内容中证券代码格式应该保持统一,缺陷,普通,
期权风控,账号或者证券代码长度超过日志表的存储长度的时候，日志应该显示,缺陷,普通,
期权风控,市场统计查询的融资回购余额排序统计的产品代码为空时，日志内容显示证券代码,缺陷,普通,
期权风控,现期走势图的分类投资者类型的部分类型没显示在日志内容中,缺陷,普通,
期权风控,固定收益平台页面市场统计日志多了股票代码,缺陷,普通,
期权风控,重点监控设置日志中增加券商格式不一致,缺陷,普通,
期权风控,大宗交易查询的产品查询没账户条件结果却有账户显示,缺陷,普通,
期权风控,大小非减持监控子表日志小组名称错误,缺陷,普通,
期权风控,信用账户查询某账户各产品融资融券交易总貌表日志中账户代码不显示,缺陷,普通,
期权风控,日志查询IP地址列宽建议设置增长,优化,低,
期权风控,日志查询界面元素与需求保持一致。,缺陷,普通,
期权风控,日志查询日志内容显示不完整,优化,低,
期权风控,日志查询框时间按钮点击错误,缺陷,普通,
期权风控,日志查询输出列表部分列没有自动换行,优化,普通,
期权风控,日志查询页面导出顺序也页面不一致,其他,普通,
期权风控,日志查询页面日志标识导出对齐方式与页面不一致,缺陷,低,
期权风控,多股同列日志显示错误,缺陷,普通,
期权风控,点击系统管理与监控子系统在日志中没有显示小组信息,缺陷,普通,
期权风控,融资融券盘前处理生成的公告文件中上海证券交易所与日期对齐不一致,优化,低,
期权风控,登录提示板中融资融券电子文件生成状态没有按照最新时间判断,缺陷,普通,
期权风控,登录提示板中信息描述从冒号到后面数据距离不等,缺陷,低,
期权风控,登录提示板中境外投资者持股比例统计错误,缺陷,普通,
期权风控,登录提示板中数据更新需要关闭页面才能刷新显示数据,优化,低,
期权风控,登录提示板中今日尚处于限制交易状态的账户合计数统计错误,缺陷,普通,
期权风控, 登录提示板中通告联交所文件生成状态显示错误,缺陷,低,
期权风控,登录提示板中限制交易电子文件生成状态判定错误,缺陷,低,
期权风控,登陆提示板中一键下载打开或保持文件解压时报错,缺陷,普通,
期权风控,分类投资者查询权限变更在输入双人双密后页面报错,缺陷,普通,
期权风控,证券各类投资者分类统计查询不通过双人双密可查询到结果,缺陷,普通,
期权风控,融资融券盘前处理生成公告文件错误汇总,缺陷,普通,
期权风控,登录提示板中通告联交所文件生成状态显示错误,缺陷,普通,
期权风控,登陆提示板中一键下载保存的压缩文件解压出错,缺陷,低,
期权风控,登陆提示板页面中通告联交所的文件生成状态错误,缺陷,低,
期权风控,参与者申报详情类型选取营业部选择武汉八一路证券营业部时报错,缺陷,低,
期权风控,参与者申报查询组合选择信用类型页面为空,缺陷,低,
期权风控,参与者申报详情部分层级表头名称后没有冒号,缺陷,低,
期权风控,参与者申报详情信用类型选择非信用情况查询为空,缺陷,普通,
期权风控,参与者申报详情信用类型选择不同页面结果都显示非信用,缺陷,普通,
期权风控,参与者申报详情跨日时间段查询错误,缺陷,普通,
期权风控,预警界面标点符号不符需求问题汇总,缺陷,普通,
期权风控,参与者申报详情产品类型查询错误,缺陷,普通,
期权风控,参与者申报详情产品类型选择指定产品后再选择其他类型查询错误,缺陷,普通,
期权风控,参与者申报详情输出字段错位,缺陷,普通,
期权风控,信托持有统计中统计类别为“计划”应该按降序排序,缺陷,低,
期权风控,性能监控报告查询问题汇总,缺陷,低,
期权风控,ASH096查询导出一码通名称显示null,缺陷,低,
期权风控,ASH096预警查询导出界面买入数量与预警界面股数不一致,缺陷,普通,
期权风控,信托产品持有统计历史查询一直显示读取中,缺陷,普通,
期权风控,预警熔断提醒时间段缺少秒时间显示,其他,低,
期权风控,多股同列合计行建议上买入金额和卖出金额,设计优化,普通,
期权风控,分时走势与时段净额图显示问题,设计优化,低,
期权风控,市场统计参与者申报查询各类投资者查询导出多前N名,软件缺陷,普通,
期权风控,分时走势与时段净额图形刻度,软件缺陷,低,
期权风控,参与者成交查询固收和大宗的结束时间取值错误,软件缺陷,普通,
期权风控,分类投资者专户理财查询子表买入卖出交易情况默认排序错误和0显示问题,软件缺陷,低,
期权风控,参与者成交查询各类投资者前N名无效,软件缺陷,普通,
期权风控,参与者成交查询大宗交易平台子表显示数值为0记录,软件缺陷,普通,
期权风控,分时走势与时段净额图形的分时走势与时段净额图的指标轴建议加单位,设计优化,低,
期权风控,分时走势与时段净额图形页面两个图形名称与需求不一致,软件缺陷,普通,
期权风控,企业年金交易统计不带时间证券买入卖出交易情况默认排序错误,软件缺陷,低,
期权风控,现期走势图行下方缺水印,软件缺陷,低,
期权风控,市场统计查询-参与者成交查询，产品类型为B股时导出问题,软件缺陷,低,
期权风控,现期走势图主力合约都不选情况RQFII4个类型图形显示为空,软件缺陷,普通,
期权风控,信托产品交易统计大宗交易带时间的计划查询结果为0的记录显示在买入卖出交易情况的页面,软件缺陷,低,
期权风控,信托产品交易统计会员/计划的不带时间查询结果的买入卖出交易情况默认排序显示错误,软件缺陷,低,
期权风控,市场统计查询-参与者成交查询，页面错误,软件缺陷,普通,
期权风控,订单簿查询数据表中申报剩余量为0的记录建议不显示,软件缺陷,普通,
期权风控,买断式产品订单簿查询报错,软件缺陷,普通,
期权风控,订单簿档位默认值与需求不一致,软件缺陷,低,
期权风控,多股同列账户组有账户时证券代码显示成国际代码,软件缺陷,低,
期权风控,多股同列账户组有账户时查询结果的买入、卖出金额显示错误,软件缺陷,低,
期权风控,多股同列账号分类查询结果的买入、卖出账号名称为空,软件缺陷,低,
期权风控,市场统计查询-参与者成交查询，公墓基金子表导出问题,软件缺陷,低,
期权风控,产品查询成交统计历史单日的结束时间超过150000数据显示错误,软件缺陷,普通,
期权风控,产品查询成交统计当日查询不到数据显示错误信息,软件缺陷,普通,
期权风控,图表展示-分时走势与时段净额图表页面，统计指标为净额时，查询结果有错误,软件缺陷,普通,
期权风控,证券各类投资者分类统计证券代码多选查询个人账户数据显示为0,软件缺陷,普通,
期权风控,图表展示-分时走势与时段净额图表，各类投资者选择RQFII或个人时显示错误,软件缺陷,普通,
期权风控,信托产品交易统计大宗交易的数据量为0的数据显示在买入卖出交易情况的页面,软件缺陷,普通,
期权风控,各类投资者交易统计的沪股通统计数据不正确,软件缺陷,普通,
期权风控,图表展示-分时走势与时段净额图表页面，产品类型多选报错,软件缺陷,普通,
期权风控,分类投资者持有查询-证券各类投资者持有统计页面，公墓基金持有显示错误,软件缺陷,普通,
期权风控,各类投资者交易统计的持平家数和不活跃家数的显示错误,软件缺陷,普通,
期权风控,图表展示-分时走势与时段净额图形页面-跨日查询页面显示错误,软件缺陷,普通,
期权风控,证券各类投资者申报统计—个人投资申买与申卖数量和金额显示不正确,软件缺陷,普通,
期权风控,多股同列数量字段应显示为买入数量卖出数量,软件缺陷,低,
期权风控,多股同列查询结果缺少成交金额字段,软件缺陷,普通,
期权风控,多股同列营业部代码建议显示为16位长代码,软件缺陷,低,
期权风控,多股同列查询出现未知异常,软件缺陷,高,
期权风控,产品成交统计合计值还是从行情表取值,软件缺陷,普通,
期权风控,市场统计查询-参与者市值查询-各类投资者时合计结果错误,软件缺陷,普通,
期权风控,市场统计查询-参与者市值查询-查询历史结果时子表报错,软件缺陷,普通,
期权风控,市场统计查询-参与者申报查询-各类投资者时跨日报错,软件缺陷,普通,
期权风控,各类投资者申报统计输出标题名称错误,软件缺陷,低,
期权风控,产品查询和参与者查询相关页面错误,软件缺陷,低,
期权风控,产品查询-申报详情和成交详情页面，【导出全部】按钮导出后显示错误,软件缺陷,低,
期权风控,产品查询-申报详情页面，跨日时，订单状态单选或多选报错,软件缺陷,低,
期权风控,产品查询--成交统计界面选择账户界面报错,软件缺陷,低,
期权风控,股指期货每日数据查询产品类型选择为空提示为必填项,软件缺陷,低,
期权风控,产品成交统计小计均价计算错误,软件缺陷,普通,
期权风控,市场统计参与者成交统计机构账户层级竞价成交没有加场内交易判断,软件缺陷,低,
期权风控,债券专业投资持有统计历史查询自营和经纪没有缩进,软件缺陷,低,
期权风控,分类投资者持有查询-债券专业投资者持有统计产品类型选择优先股界面报错,软件缺陷,普通,
期权风控,市场统计参与者申报统计跨日查询数据翻倍,软件缺陷,普通,
期权风控,市场统计查询-参与者成交查询中查询各类投资者时历史跨日数据统计错误,软件缺陷,普通,
期权风控,分类投资者申报查询-相关页面导出错误,软件缺陷,低,
期权风控,市场统计查询-参与者市值产品类型选择沪深300指数成分股导出名称不对,软件缺陷,低,
期权风控,市场统计查询-参与者成交查询中各类投资者为券商集合理财账户错误,软件缺陷,普通,
期权风控,分类投资者申报查询-证券各类投资者申报统计页面个人投资者计算错误,软件缺陷,普通,
期权风控,市场统计参与者市值导出成分股书写错误,软件缺陷,低,
期权风控,个人账户持有统计历史查询没有把E账户数据合到A账户里,软件缺陷,普通,
期权风控,图表展示-分时走势与时段净额图表页面选择净额时错误,软件缺陷,普通,
期权风控,证券各类投资者持有统计普通+信用表中个人账户值没有包括信用账户,软件缺陷,普通,
期权风控,图表展示-分时走势与时段净额图表页面错误信息,软件缺陷,普通,
期权风控,查询-参与者查询-参与者为一码通时后台日志错误,软件缺陷,低,
期权风控,产品成交统计小计买入比例卖出比例错误,软件缺陷,普通,
期权风控,图表展示-融资融券变动图-统计指标为融资平仓时错误,软件缺陷,普通,
期权风控,融资融券变动跨日含当日查询当日数据都显示为0,软件缺陷,普通,
期权风控,分类投资者持有查询-信托产品持有统计页面错误,软件缺陷,普通,
期权风控,参与者申报查询导出问题,软件缺陷,普通,
期权风控,市场统计查询参与者申报查询子表未成交金额不显示,软件缺陷,普通,
期权风控,市场统计查询的参与者申报查询债券类金额未乘10,软件缺陷,普通,
期权风控,现期走势图主要指数值显示为0,软件缺陷,普通,
期权风控,现期走势图形统计指标不应保留2位小数,软件缺陷,低,
期权风控,现期走势图形投资者类型选项显示不全,软件缺陷,低,
期权风控,查询条件无横向滚动条页面,软件缺陷,普通,
期权风控,参与者持仓市值查询无数据显示问题,软件缺陷,普通,
期权风控,股指期货走势查询导出及页面问题,软件缺陷,普通,
期权风控,证券各类投资者持有统计封闭式基金缩进不一致,软件缺陷,低,
期权风控,个人账户持有统计E账户的值没有汇到对应A账户,软件缺陷,普通,
期权风控,个人账户持有统计页面问题,软件缺陷,普通,
期权风控,证券各类投资者持有统计个人投资者数据错误,软件缺陷,普通,
期权风控,市场统计查询---参与者成交查询净卖出值显示错误,软件缺陷,普通,
期权风控,个人账户持有统计---个人账户持有统计界面类别建议修改产品类型,软件缺陷,低,
期权风控,图表展示-分时走势与时段净额图表页面错误,软件缺陷,普通,
期权风控,证券各类投资者持有统计点击标题可排序,软件缺陷,普通,
期权风控,证券各类投资者持有统计查询缓慢,软件缺陷,普通,
期权风控,证券各类投资者持有统计个人投资者区间显示顺序错误,软件缺陷,低,
期权风控,证券各类投资者持有统计的机构投资者小计错误,软件缺陷,普通,
期权风控,证券各类投资者持有统计导出及表头名称,软件缺陷,普通,
期权风控,证券各类投资者持有统计证券代码缺导入功能,软件缺陷,普通,
期权风控,债券专业投资者持有统计历史查询缓慢,软件缺陷,普通,
期权风控,债券专业投资者持有统计专业投资者数据显示都为0,软件缺陷,普通,
期权风控,市场统计查询---证券指数影响统计导出文件与界面不一致,软件缺陷,低,
期权风控,产品查询-债券成交统计小计中买入与卖出均价未除以10,软件缺陷,高,
期权风控,标的券交易查询母表指定证券查询会员融券专用账户余量值错误,软件缺陷,普通,
期权风控,查询后台日志错误,软件缺陷,低,
期权风控,会员查询和标的券交易查询会员融券专用账户余额债券未乘10,软件缺陷,普通,
期权风控,图表展示--融资融券变动上一交易日的数据未显示,软件缺陷,高,
期权风控,标的券交易查询控件不美观,软件缺陷,低,
期权风控,融资融券会员查询历史日期查询子表的流通股本取值错误,软件缺陷,普通,
期权风控,融资融券会员查询不带时间子表会员融券专业账户余量计算错误,软件缺陷,普通,
期权风控,分类投资者持有查询-企业年金持有统计导出错误,软件缺陷,低,
期权风控,分类投资者持仓查询-基金账户持有统计页面选择私募债和低等级债时计算错误,软件缺陷,普通,
期权风控,分类投资者申报查询-各类投资者申报统计申卖家数统计错误,软件缺陷,普通,
期权风控,各类投资者持有统计-各类投资者持有统计期末市值与期初市值计算错误,软件缺陷,高,
期权风控,产品查询-成交统计界面参与者层级为账户时界面报错,软件缺陷,低,
期权风控,融资融券会员查询母表导出日期与页面不一致,软件缺陷,低,
期权风控,融资融券会员查询母表合计多字段,软件缺陷,普通,
期权风控,融资融券会员查询子表会员信用担保品账户余量值计算错误,软件缺陷,普通,
期权风控,分类投资者申报查询-子表导出错误,软件缺陷,低,
期权风控,市场统计查询-参与者持仓查询子表导出错误,软件缺陷,低,
期权风控,市场统计查询-参与者成交查询合计数值重复,软件缺陷,普通,
期权风控,分类投资者申报查询-证券各类投资者申报统计页面错误,软件缺陷,普通,
期权风控,参与者申报统计产品类别中上证50指数成分股书写错误,软件缺陷,低,
期权风控,分类投资者持有查询-专户理财持有统计子表导出错误,软件缺陷,低,
期权风控,分类投资者持仓查询-基金账户持有统计页面子表错误,软件缺陷,低,
期权风控,融资融券变动导出文件产品类型显示null,软件缺陷,低,
期权风控,分类投资者持仓查询-一般机构投资者持有统计页面母表显示错误,软件缺陷,低,
期权风控,分时走势与时段净额图形各类投资者控件传参错误,软件缺陷,普通,
期权风控,分时走势与时段净额图形各类投资者与指数对比纵轴名称错误,软件缺陷,普通,
期权风控,分时走势与时段净额图形查询列表数值都居左,软件缺陷,低,
期权风控,分时走势与时段净额图形界面不美观,软件缺陷,低,
期权风控,分时走势与时段净额图形导出问题,软件缺陷,普通,
期权风控,图表展示中分时走势与时段净额图形页面，分时净额表错误,软件缺陷,高,
期权风控,4个图形页面日期选择大于交易日未控制,软件缺陷,普通,
期权风控,分类投资者申报导出汇总,软件缺陷,低,
期权风控,融资融券变动小数位问题,软件缺陷,普通,
期权风控,分类投资申报查询-证券各类投资者分类申报统计页面，信用账户申报汇总表中数据错误,软件缺陷,普通,
期权风控,持有统计的页面都不能点击标题排序,软件缺陷,低,
期权风控,分类投资者持有查询-导出文件中小数位与界面不符,软件缺陷,低,
期权风控,个人账户交易统计类别建议修改产品类型,软件缺陷,低,
期权风控,图形展示融资融券变动时间间隔按钮功能未实现,软件缺陷,普通,
期权风控,股指期货导出问题,软件缺陷,普通,
期权风控,股指期货走势查询界面问题,软件缺陷,普通,
期权风控,股指期货走势查询列表显示问题,软件缺陷,普通,
期权风控,建议现期走势图形主力合约选项显示为对应的中文,软件缺陷,低,
期权风控,分类投资者申报查询中B股各类投资者申报统计页面，不活跃家数计算错误,软件缺陷,普通,
期权风控,现期走势图形主要指数多选查询错误,软件缺陷,普通,
期权风控,市场统计查询中的参与者成交查询页面，平台类型为固收时，查询券商子表无显示,软件缺陷,普通,
期权风控,现期走势图形问题汇总,软件缺陷,普通,
期权风控,市场统计查询中参与者申报查询页面，母表中买未成交金额错误,软件缺陷,普通,
期权风控,分类投资者申报查询-个人账户申报统计导出类别显示null,软件缺陷,低,
期权风控,分类投资者交易/申报/持有低等级债导出显示错误,软件缺陷,低,
期权风控, 市场统计查询-参与者市值查询各类投资者查询时持有市值错误,软件缺陷,普通,
期权风控,市场统计查询中的参与者成交查询页面，母表错误,软件缺陷,普通,
期权风控,市场统计查询中证券指数影响统计页面，指数选择中证500导出后指数显示错误,软件缺陷,低,
期权风控,市场统计查询中的参与者申报查询页面，子表中显示错误,软件缺陷,低,
期权风控,市场统计查询-参与者市值查询历史日交易缓慢,软件缺陷,普通,
期权风控,各类投资者持有统计当日查询报错,软件缺陷,高,
期权风控,融资融券变动界面数据保留2位小数,软件缺陷,普通,
期权风控,分类投资者申报统计所有页面不带时间查询明细记录错误,软件缺陷,高,
期权风控,证券各类投资者申报统计问题汇总,软件缺陷,普通,
期权风控,分类投资者持仓查询-B股各类投资者持有统计页面显示错误,软件缺陷,普通,
期权风控,分类投资者申报界面券类型为国债（含地方债）、公司债、转债、质押式回购、买断式回购五种类型申买与申卖均价计算错误,软件缺陷,高,
期权风控,各类投资者持有统计A股统计范围错误,软件缺陷,普通,
期权风控,分类投资者导出问题汇总,软件缺陷,普通,
期权风控,INSTRUMENT_TYPE_MV新增类型脚本未提交,软件缺陷,高,
期权风控,图形展示融资融券变动问题汇总,软件缺陷,低,
期权风控,市场统计查询中的参与者成交查询页面，母表和子表对应不上,软件缺陷,普通,
期权风控,融资融券交易中的会员查询页面，数据库有值，页面没有显示,软件缺陷,普通,
期权风控,市场统计查询中的参与者申报查询页面，输入结束时间查不出相应结果,软件缺陷,普通,
期权风控,各类投资者申报统计小计合计计算错误,软件缺陷,普通,
期权风控,各类投资者申报统计部分数值单位未转化,软件缺陷,普通,
期权风控,查询页面错别字汇总,软件缺陷,低,
期权风控,融资融券交易-融资余额查询合计统计错误,软件缺陷,普通,
期权风控,市场统计查询中证券指数影响统计页面，指数选择中证500导出页面有错误,软件缺陷,低,
期权风控,股指期货走势查询列表行和列位置错误,软件缺陷,普通,
期权风控,现货走势图形页面条件选择主要指数后查询报错,软件缺陷,普通,
期权风控,分时走势与时段净额图形页面对比指数选择上证综指时页面报错,软件缺陷,低,
期权风控,期权参与者组合申报详情的申报来源未显示为对应的中文,软件缺陷,低,
期权风控,策略信息查询页面行权价高低顺序显示有NaN,软件缺陷,普通,
期权风控,债券专版后台日志错误,软件缺陷,低,
期权风控,国际版模块后台日志错误,软件缺陷,低,
